border,date,measure,value,average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,12688888
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6515484
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3938075
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,3916689
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2079248
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,456639
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,424002
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,308552
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,315102
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,136282
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,174855
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,139208
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,102848
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,107780
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,54764
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,40771
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,39002
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,16475
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,16021
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,14058
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,4710
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2084
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,877
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,936
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,12438556
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6426398
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3791167
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,3915258
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2124839
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,447556
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,432282
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,296774
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,326232
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,196508
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,128230
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,136302
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,85700
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,114264
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,51042
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,37808
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,38406
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,16365
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,17559
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,14807
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,5220
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2390
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,861
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,836
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,12225382
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6314572
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3839602
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,4169204
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2248558
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,424084
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,434689
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,312340
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,278374
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,236654
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,119078
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,127668
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,123652
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88649
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,53576
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,36691
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,37358
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19062
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,14494
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,18414
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,5734
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2350
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,794
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,814
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,11787613
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6075108
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3872700
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,4584630
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2445556
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,426306
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,408334
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,303080
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,254225
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,250500
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,104334
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,126261
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,137425
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,95436
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,57370
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,34071
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,35562
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19114
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,18164
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,14856
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,6170
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2274
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,610
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,784
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,11367672
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,5820450
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,4710335
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3929744
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2485038
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,406814
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,385206
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,295108
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,239393
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,256859
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,116649
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,149172
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,105018
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,89948
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,53640
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,33128
